global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
986,1255,3,1215,4,-0.006724811468942736,0.7278100848197937,0.7632264555461945
1972,851,347,871,408,-0.042543998347444385,0.38391607999801636,0.7591315150260926
2000,996,235,983,263,-0.019904081590432027,0.38201451301574707,0.8074023243881041
2958,1018,231,987,241,-0.002248766215714703,0.10142534971237183,1.1435884409854489
