global_step,tp,tn,fp,fn,mcc,train_loss,eval_loss
1239,892,114,1354,117,-0.06471326422034908,0.3572314381599426,1.0262182310704262
2000,858,164,1304,151,-0.055947766964949214,0.6998676061630249,1.0816795339507441
2478,840,192,1276,169,-0.051108291158440615,0.24743984639644623,1.0764512362018708
3717,684,379,1089,325,-0.06963863049735611,0.06584498286247253,1.5881194252160287
4000,747,268,1200,262,-0.092374434745331,0.2320575714111328,2.2619754068793787
4956,760,303,1165,249,-0.04766987114747021,0.08339659869670868,2.5805214155825875
